ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_2CV1wc0U5Vvt7IS,,,,,,,,,NA,NA,NA,NA,NA,rough
R_2dF6BrXaLHbbEoY,female,english,Never,Never,None,No,No,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_2dF6BrXaLHbbEoY,female,english,Never,Never,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_2EF8syu2eX6GkSq,male,ENGLISH,Never,Never,None,No,Maybe,No,NA,KheuKhya,Male,Second,Khya,rough
R_2EF8syu2eX6GkSq,male,ENGLISH,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_2eRlDK2KFeK4igJ,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Male,First,Kheu,rough
R_2eRlDK2KFeK4igJ,female,English,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_2qsh5yTk4lhEy1I,male,English,Never,Rarely,None,No,Maybe,No,NA,KhyaKheu,Male,First,Khya,rough
R_2qsh5yTk4lhEy1I,male,English,Never,Rarely,None,No,Maybe,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_2t6JCpHP4cbgzvj,male,English,Never,Never,None,No,No,No,NA,KheuKhya,Male,Second,Khya,rough
R_2t6JCpHP4cbgzvj,male,English,Never,Never,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_2THocyzXpnKbLGA,,,,,,,,,NA,NA,NA,NA,NA,rough
R_2THocyzXpnKbLGA,,,,,,,,,NA,NA,NA,NA,NA,rough
R_2TS3Q7Sv3ZMzt1p,male,ENGLISH,Never,Rarely,None,Maybe,Yes,Maybe,NA,KheuKhya,Female,First,Kheu,rough
R_2TS3Q7Sv3ZMzt1p,male,ENGLISH,Never,Rarely,None,Maybe,Yes,Maybe,NA,KheuKhya,Male,Second,Khya,rough
R_2uBw0vC2blhsV5a,male,English,Never,Rarely,None,Maybe,Yes,No,NA,KheuKhya,Male,Second,Khya,rough
R_2uBw0vC2blhsV5a,male,English,Never,Rarely,None,Maybe,Yes,No,NA,KheuKhya,Female,First,Kheu,rough
R_2uZKadRbxJwCGOb,female,English,Never,Occasionally,None,Yes,Yes,Yes,NA,KheuKhya,Male,Second,Khya,rough
R_2uZKadRbxJwCGOb,female,English,Never,Occasionally,None,Yes,Yes,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_2V2RKT1TA0MMQCK,female,ENGLISH,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_2V2RKT1TA0MMQCK,female,ENGLISH,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_2vdbLKG1dFWV3zA,male,english,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,Second,Kheu,rough
